,PageRank,Airport_name,Airport_info
2723,[28.54499088],DEN,"Denver Intl, United States"
2801,[26.66782606],ORD,"Chicago Ohare Intl, United States"
2460,[26.06911784],LAX,"Los Angeles Intl, United States"
2343,[21.80657407],SYD,"Sydney Intl, Australia"
2655,[21.24894652],ATL,"Hartsfield Jackson Atlanta Intl, United States"
2974,[20.67298964],DME,"Domododevo, Russia"
2644,[20.01146163],DFW,"Dallas Fort Worth Intl, United States"
2305,[19.57489607],SIN,"Changi Intl, Singapore"
2346,[19.00263989],PEK,"Capital Intl, China"
399,[18.54679448],LHR,"Heathrow, United Kingdom"
1867,[18.39750568],BOG,"Eldorado Intl, Colombia"
994,[18.22076428],CDG,"Charles De Gaulle, France"
293,[17.72867427],FRA,"Frankfurt Main, Germany"
2768,[16.59781279],JFK,"John F Kennedy Intl, United States"
445,[16.5575217],AMS,"Schiphol, Netherlands"
189,[16.47262074],YYZ,"Lester B Pearson Intl, Canada"
1525,[16.30506561],DXB,"Dubai Intl, United Arab Emirates"
1193,[16.23836359],IST,"Ataturk, Turkey"
1695,[16.03863721],AEP,"Aeroparque Jorge Newbery, Argentina"
1285,[16.00598464],MEX,"Licenciado Benito Juarez Intl, Mexico"
2253,[15.75963155],ICN,"Incheon Intl, South Korea"
2308,[15.50073548],BNE,"Brisbane Intl, Australia"
1674,[15.19117645],MNL,"Ninoy Aquino Intl, Philippines"
2829,[14.64020898],MSP,"Minneapolis St Paul Intl, United States"
2382,[14.49058539],PVG,"Pudong, China"
581,[14.25398837],JNB,"Johannesburg Intl, South Africa"
2856,[14.24822396],BKK,"Suvarnabhumi Intl, Thailand"
2162,[14.21985237],DEL,"Indira Gandhi Intl, India"
893,[13.99371072],BCN,"Barcelona, Spain"
2552,[13.93285075],MIA,"Miami Intl, United States"
2526,[13.91553124],IAH,"George Bush Intercontinental, United States"
2847,[13.80714696],CLT,"Charlotte Douglas Intl, United States"
2154,[13.68186474],HKG,"Hong Kong Intl, Hong Kong"
2047,[13.62366787],LED,"Pulkovo, Russia"
2297,[13.42806268],KUL,"Kuala Lumpur Intl, Malaysia"
2553,[13.23609217],SEA,"Seattle Tacoma Intl, United States"
1648,[13.02805249],HND,"Tokyo Intl, Japan"
2445,[12.90188381],SFO,"San Francisco Intl, United States"
152,[12.80564844],YVR,"Vancouver Intl, Canada"
1110,[12.39233018],FCO,"Fiumicino, Italy"
2745,[12.31483205],ANC,"Ted Stevens Anchorage Intl, United States"
1424,[12.18791541],AKL,"Auckland Intl, New Zealand"
902,[12.13653063],MAD,"Barajas, Spain"
395,[12.12778902],LGW,"Gatwick, United Kingdom"
2093,[12.08031011],BOM,"Chhatrapati Shivaji Intl, India"
1775,[11.89568491],GRU,"Guarulhos Gov Andre Franco Montouro, Brazil"
1595,[11.84383546],NRT,"Narita Intl, Japan"
2279,[11.81859398],CGK,"Soekarno Hatta Intl, Indonesia"
299,[11.61283281],MUC,"Franz Josef Strauss, Germany"
2848,[11.57375297],LAS,"Mc Carran Intl, United States"
2325,[11.54091635],MEL,"Melbourne Intl, Australia"
1139,[11.40748609],VIE,"Schwechat, Austria"
1928,[11.39694],LIM,"Jorge Chavez Intl, Peru"
2350,[11.25259983],CAN,"Baiyun Intl, China"
2619,[11.06831602],DTW,"Detroit Metro Wayne Co, United States"
2575,[10.82592008],BET,"Bethel, United States"
2686,[10.70794743],IAD,"Washington Dulles Intl, United States"
2361,[10.54069851],KMG,"Wujiaba, China"
491,[10.4764454],OSL,"Gardermoen, Norway"
2943,[10.35610207],PMI,"Son Sant Joan, Spain"
281,[10.30351536],BRU,"Brussels Natl, Belgium"
2470,[10.30138387],EWR,"Newark Liberty Intl, United States"
554,[10.26526743],ARN,"Arlanda, Sweden"
142,[10.25882859],YUL,"Pierre Elliott Trudeau Intl, Canada"
1503,[10.24896879],THR,"Mehrabad Intl, Iran"
2374,[10.14834274],CTU,"Shuangliu, China"
2081,[10.12753459],SVO,"Sheremetyevo, Russia"
996,[10.1260178],ORY,"Orly, France"
2724,[10.11505794],PHL,"Philadelphia Intl, United States"
2424,[10.09936894],BOS,"General Edward Lawrence Logan Intl, United States"
345,[10.03939565],HEL,"Helsinki Vantaa, Finland"
377,[10.00534179],MAN,"Manchester, United Kingdom"
2438,[9.94736401],PHX,"Phoenix Sky Harbor Intl, United States"
2849,[9.84394667],MCO,"Orlando Intl, United States"
1522,[9.81966847],AUH,"Abu Dhabi Intl, United Arab Emirates"
3019,[9.73713384],PPT,"Faa\\'a International, French Polynesia"
466,[9.72404222],CPH,"Kastrup, Denmark"
1475,[9.63246656],JED,"King Abdulaziz Intl, Saudi Arabia"
2509,[9.62159218],FLL,"Fort Lauderdale Hollywood Intl, United States"
298,[9.57796107],DUS,"Dusseldorf, Germany"
1592,[9.39772297],TPE,"Taoyuan Intl, Taiwan"
3004,[9.36051536],NBO,"Jomo Kenyatta International, Kenya"
1751,[9.35632198],BSB,"Presidente Juscelino Kubitschek, Brazil"
806,[9.10555878],ADD,"Bole Intl, Ethiopia"
4,[8.97075559],POM,"Port Moresby Jacksons Intl, Papua New Guinea"
1178,[8.92590357],ZRH,"Zurich, Switzerland"
3018,[8.80460657],HIR,"Honiara International, Solomon Islands"
2333,[8.62390558],PER,"Perth Intl, Australia"
2896,[8.61005034],ATH,"Eleftherios Venizelos Intl, Greece"
1481,[8.54851647],RUH,"King Khaled Intl, Saudi Arabia"
2803,[8.54597674],FAI,"Fairbanks Intl, United States"
2359,[8.54236649],XIY,"Xianyang, China"
2208,[8.50546978],DMK,"Don Muang Intl, Thailand"
2512,[8.38002213],SLC,"Salt Lake City Intl, United States"
2700,[8.0991799],HNL,"Honolulu Intl, United States"
824,[8.07742314],CAI,"Cairo Intl, Egypt"
1151,[8.05480321],LIS,"Lisboa, Portugal"
2378,[7.90766747],URC,"Diwopu, China"
1784,[7.89258772],VCP,"Viracopos, Brazil"
1964,[7.74576904],CCS,"Simon Bolivar Intl, Venezuela"
1839,[7.65642254],SCL,"Arturo Merino Benitez Intl, Chile"
1086,[7.49067105],MXP,"Malpensa, Italy"
174,[7.46459532],YYC,"Calgary Intl, Canada"
