,source,target,value
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,1
3,Gina Champion-Cain,San Diego,2
4,Ponzi,San Diego,1
5,Ponzi,UK Passengers Return,1
6,UK Passengers Return,Work Israel’s,2
7,Eyes Measures,Work Israel’s,2
8,Boost Competition Lagarde,Eyes Measures,2
9,Appeal Endures Bank,Boost Competition Lagarde,1
10,Appeal Endures Bank,China,2
11,China,Extending Incentive Offers,2
12,Extending Incentive Offers,US,2
13,David Beckham,US,2
14,Nancy Pelosi’s,Ukraine,2
15,Nancy Pelosi’s,the Eastern Front Futuristic,2
16,China,the Eastern Front Futuristic,2
17,China,US,1
18,New York City,US,1
19,ARKK,New York City,1
20,ARKK,Federal Reserve,1
0,TWTR,Twitter,2
1,TWTR,Tesla,2
2,Tesla,the Federal Reserve,2
3,Beijing,the Federal Reserve,1
4,Beijing,Washington,8
5,Tesla,Washington,3
6,Shanghai,Tesla,10
7,China,Tesla,15
8,China,the Shanghai Gigafactory,1
9,China,Shanghai,7
10,CCP,China,3
11,CCP,the White House,1
12,National Security Strategy,the White House,2
13,China,National Security Strategy,2
14,Beijing,Tesla,2
15,China,Washington,2
16,Biden,Tesla,1
17,Biden,China,2
18,China,NVDA,1
19,Apple (AAPL,NVDA,2
20,Apple (AAPL,Tesla,1
21,China,Xinhua Daily Telegraph,2
22,Tesla,Xinhua Daily Telegraph,2
23,CCP,Shanghai,2
24,Shanghai,Tesla’s Gigafactory,3
25,Beijing,Shanghai,2
26,Shanghai,Washington,1
27,Tesla,the White House,3
28,China,Tesla’s,3
29,NIO (NIO,Tesla’s,2
30,NIO (NIO,Nvidia’s,2
31,Nvidia’s,Samsung,1
32,China,Samsung,2
33,AI,Shanghai,1
34,AI,China,1
35,China,Sheffield Hallam University,2
36,Sheffield Hallam University,Tesla,2
37,Tesla,the Uyghur Forced Labor Prevention Act,2
38,the Senate Finance Committee,the Uyghur Forced Labor Prevention Act,1
39,Tesla,the Senate Finance Committee,2
40,China,Mexico,1
41,Fremont,Mexico,2
42,Fremont,TSMC,2
43,TSM,TSMC,2
44,Arizona,TSM,2
45,Arizona,China,1
46,Tesla,Twitter,3
47,Crimea,Tesla,1
48,Crimea,Russia,2
49,Russia,Taiwan,2
50,China,Taiwan,2
51,Tesla,Tesla’s,1
52,BlackSquare Capital,Bohdan Kucheriavyi,2
53,BlackSquare Capital,He's/It's,1
0,EV,Tesla,1
1,EV,U.S.,1
2,Tesla,U.S.,1
3,Apple,Tesla,2
4,Apple,EV,1
5,EV,Volkswagen,1
6,Marcus Lu,Visual Capitalist's,2
7,EPA,Marcus Lu,2
8,Automotive Trends Report,EPA,2
9,EV,PHEV,2
10,Toyota,U.S.,2
11,EV,Toyota,2
12,EV,Jeep,1
13,Jeep,Ram,2
14,Carlos Tavares,Ram,1
15,Buzz,Microbus,2
16,Ford,Microbus,1
17,EV,Ford,2
18,EV,Mustang Mach-E,1
19,Ford,Mustang Mach-E,1
20,F-150 Lightning,Ford,2
21,Ford,Zerohedge.com,1
22,Oilprice.com,Zerohedge.com,1
23,Oilprice.com,U.S.,2
24,China,U.S.,2
25,China,Congo,2
0,Investing.com,TSLA,2
1,Morgan Stanley,TSLA,1
2,Morgan Stanley,Tesla,4
3,Reuters,SA News SA News,1
4,CNN Business,SA News SA News,1
5,CNN Business,TrendSpider,1
6,TrendSpider,TrendSpider.com,2
7,Musk,TrendSpider,1
8,Tesla,TrendSpider,1
9,Musk,Tesla,2
10,Musk,SocialSentiment.io,1
11,RSI,SocialSentiment.io,1
12,MA Distance,RSI,2
13,MA Distance,TrendSpider,2
14,Shanghai,Tesla,2
15,Michael Burry,Shanghai,1
16,Alpha,Michael Burry,2
17,Alpha,Toyota Motor,2
18,Ford,Toyota Motor,2
19,Adam Jonas,CFA,2
20,CFA,Evan Silverberg,4
21,CFA,Tesla,2
22,EV,Tesla,4
23,EV,Porsche,1
24,Porsche,eFuels,2
25,China,eFuels,2
26,China,the United States,2
27,Tesla,the United States,2
28,Ford,Tesla,4
29,EV,General Motors,2
30,GM,General Motors,2
31,Ford,GM,2
32,EV,Ford,2
33,MS,Morgan Stanley,1
34,DCF,MS,1
35,DCF,Morgan Stanley,2
36,China,WACC,2
37,China,the International Monetary Fund,1
38,MS,Tesla's Auto Business,2
39,MS,Networks Services,2
40,MS,WACC,1
41,Morgan Stanley's,WACC,2
42,FY2023,Tesla,2
43,SA,Tesla,6
44,EPS,YCharts,3
45,EPS,FY2023 and FY2024,2
46,FY2023 and FY2024,Tesla,1
47,Elon,Tesla,3
48,Microsoft,Tesla,1
49,Alpha,Microsoft,2
50,Alpha,MSFT,6
51,MSFT,Tesla,2
52,Tesla,WACC,2
53,Musk,WACC,1
54,"Tesla, Inc.",U.S.,2
55,BS,Finance,2
56,Finance,Initial Public Offerings,1
