title,body
argentina ace dibu martinez protects world cup medal expensive new guard dog - marca english,"editions: en/world-cup aston villa man taking risks comes family's safety silverware. argentina aston villa goalkeeper emiliano 'dibu' martinez invested expensive guard dog ensure world cup winners medal stolen damaged. arsenal man argentina's no.1 goalkeeper tournament qatar named best goalkeeper tournament, winning golden glove. behaviour awards ceremony bus parade buenos aires led actively criticize goalkeeper, responded guarding treasure. splashed 20,000 pound guard dog navy seals past. breed dog belgian malinois protect wife children precious medal trophy received. martinez seriously impressive performances argentina won third-ever world cup, having won tournament 1986. whilst focus lionel messi, plenty appreciation quality martinez showed. particularly important save final france extra-time. save, argentina beaten penalties place. according daily star, dog weigh 30kg navy seals sas combat. martinez purchased loyal hound elite protection dogs, know thing dealing famous clients. 35 years' experience seen likes tottenham 'keeper hugo lloris, ex-chelsea arsenal star ashley cole, heavyweight boxing king tyson fury buy dogs them. © unidad editorial información deportiva, s.l.u. rights reserved. follow"
‘everyone looking options’: russian women fly argentina birth - guardian,"south american country experiencing boom birth tourism, russians use rare visa-free travel standing line maternity ward sanatorio finochietto hospital bustling buenos aires, polina cherepovitskaya suddenly overheard familiar sound russian language. “it crazy, pregnant russian women waiting me,” cherepovitskaya, jewellery designer previously based moscow, said phone interview. cherepovitskaya, gave birth earlier month, estimated hundreds russian women travelled year argentinian capital birth. start russia’s invasion ukraine, south american country experienced boom russian birth tourism – practice travelling country purpose giving birth obtaining citizenship child. concept birth tourism isn’t new, moscow’s isolation west result war argentina, russians face visa requirements, go-to destination families looking children privileges second citizenship. vladimir putin’s call-up hundreds thousands military reservists added trend. georgy polin, head consular department russian embassy argentina, estimated 2,000 2,500 russians moved argentina year, whom, said, russian women planning birth country. “next year, number grow 10,000,” polin said. “i found pregnant shortly war ukraine started,” cherepovitskaya recalled. “as saw borders started quickly close us, knew find place easily travel to. argentinian passport open doors child.” cherepovitskaya husband, left russia shortly war ukraine started, plan stay buenos aires apply argentinian citizenship themselves, process simplified parents argentinian daughter. “buenos aires demand right now; destination currently work with,” said eva pekurova, runs agency arranges travel documents, accommodation hospital stays pregnant russians giving birth abroad. russians don’t need visa visit argentina, pekurova said extending standard 90-day stay issued country applying residency permit fairly straightforward. core advantages argentinian passport, pekurova said, citizens short-term trips 171 countries visa, including eu, uk japan, obtaining long-term visa “not difficult”. prior war, russians visa-free 80 countries. putin sent troops ukraine, multiple european countries practically impossible russians visit, month-long waiting lines visas formed understaffed western consulates moscow. like firms industry, pekurov’s company previously offered similar tours miami, florida – hotspot birth tourism. business model faltered covid-19 hit, closed border russians. war ukraine complicated russian travel us. “before pandemic, miami place go,” said pekurova. “but argentina.” pekurova gave birth earlier year buenos aires, “positive” experience strengthened desire offer trips country. “everyone looking options current situation russia. granting child argentinian passport, giving freedom.” privileges argentinian passport, said russian clients chose buenos aires high quality healthcare, private public. foreign parents argentina-born baby relatively easy pathway argentinian citizenship, arranged years. russian women moving argentina birth pay £1,000 £8,000 brokers like pekurova, offer services range arranging translators helping reams paperwork organising photoshoots newborn baby. figures russian women travel argentina specifically birth, however, hard come by. kirill makoveev, founder baby.ruargentina agency, said firm helped 100 russian women partners past year. makoveev moved argentina 2014, working travel guide, said quickly saw potential country birth tourism destination, founding agency 2018. “we currently booked 2023. waiting list too,” said makoveev, adding “dozen pregnant russians” landed capital day. “since start war, demand boomed. come point hospitals advertisements russian.” cherepovitskaya, jewellery designer, said russian-speaking translators, required present legalising child, booked weeks ahead. available charging “exorbitant” fees. chat group called giving birth argentina, russian messaging telegram app, 3,000 members, soon-to-be mums, exchange tips finest maternity wards buenos aires best baby formula. makoveev noticed vladimir putin announced military mobilisation september, led unprecedented exodus country, russians choosing stay argentina. “for many, argentina longer place birth,” makoveev said. “we people want build life return back.” argentina history welcoming russian migrants: end 19th century, russian jews, fleeing poverty pogroms, sailed atlantic, smaller wave russians arrived collapse soviet union 1991. “i hearing russian language streets march, noticeable,” said maxim mironov, associate professor finance ie business school madrid, living buenos aires 2005. mironov said latin american country attracting women looking birth members russia’s tech start-up communities left country response war worsening business climate russia. mironov said argentina “very tolerant” russians, saw “no signs” local authorities planning introduce travel restrictions. argentina cautious condemnation russia’s invasion ukraine europe have. like rest latin america, country chosen impose sanctions russia questioned effectiveness. latest migrants settle argentina viktoriya obvintseva, moved buenos aires earlier year moscow, giving birth october. “our decision child argentinian passport isn’t travelling visas, general future envision child,” obvintseva said. “important things like access quality western education harder living russia. long mobilisation place, husband probably won’t coming russia.” obvintseva husband, software developer, plan stay buenos aires apply argentinian citizenship. “we love city,” said."
"argentina squad pushing messi play 2026 world cup, reveals mac allister - goal.com","alexis mac allister says argentina’s squad convince lionel messi play 2026 world cup. happened? seven-time ballon d’or winner suggested 2022 finals qatar but, claiming global glory middle east, vowed shelve international retirement plans now. messi decide defend football’s prestigious prize fifa’s flagship event heads united states, mexico canada 2026, mac allister eager iconic 35-year-old line country major tournaments. said: mac allister said messi’s future: “we don’t want leave national team. said going world cup don’t want that. want stay us. knows it. let’s happens. sent message yesterday, wishing good year. grateful us. game couldn’t speak wanted celebrate. think don’t realise achieved, 10 years will.” bigger picture: brighton midfielder mac allister added playing alongside messi all-time great completed medal collection qatar emulated efforts pele diego maradona world cup winner: “he deserves it. trophy missing it. i’m glad this, help team trophy. i’m happy him, [angel] di maria well, players fought lot couple years trophy play country.” photos: next? messi taken 172 appearances argentina, scoring 98 goals, history 2022 world cup – finding target seven occasions, including knockout round – claimed record-setting second golden ball end tournament illuminated."
"enzo fernandez transfer: scouting chelsea's latest target; benfica, argentina star bit - cbs sports","play football pick'em play college football pick'em waiver wire daily soccer podcast whirlwind months enzo fernandez europe seen meteoric rise, fifa world cup success possibly big money transfer away sl benfica. 21-year-old joined portuguese giants river plate june join american-owned chelsea discussions clubs expected week. reports argentina agreed personal terms blues. winner best young player award 2022 world cup qatar argentina's successful squad, fernandez hottest properties world soccer. shortage elite clubs taking interest albiceleste star appears premier league likely outcome present. look midfielder named uruguay legend enzo francescoli risen prominence short space time. direct contacts today chelsea benfica enzo fernández — discussed tomorrow week. 🔵 #cfc deal advanced, waiting benfica final decision. chelsea insisting feel deal closed week. pic.twitter.com/hf32kdnnsd 22 later month, fernandez professional debut river 2019 excelled marcelo gallardo, winning 2021 primera division fruitful spell defensa y justicia included 2020 copa sudamericana title. years, man san martin buenos aires gone promotion youth team world champion consistent performer uefa champions league benfica summer switch river. fernandez's portugal valued $20 million june including bonuses activated times release clause $130 million activated. river plate owed quarter future transfer fee. large meteoric rise attributed benfica roger schmidt enabled fernandez shine moment switched continents. aguias staggering business club usually cashes youth academy products foreign imports. lost unbeaten record recently 3-0 primeira liga defeat sc braga final game 2022, benfica points clear summit topped champions league group ahead paris saint-germain thanks wild goal swing final day. told senior benfica leadership caught guard chelsea's offer enzo fernandez. world cup success, club simply weren't expecting bid magnitude. pic.twitter.com/z4mt70fhjg expected key contributor arsenal world cup, entered loss saudi arabia open tournament dominated middle park, establishing sure starter moving forward lionel scaloni's side. it's early, makings midfielder showed qatar. doubt similarities psg's marc verratti, fernandez central midfield-based talent capable winning ball back, maintaining possession, looking open team forward-thinking vision. combative enjoys close-quarter confrontation exhibits excellent technical ability terms ball control, passing long short distances -- little wonder fernandez wanted pair azzurri star point career. terms anticipation, good regularly excellent positioning win ball play role chance creation play moves field attacking midfield totally unfamiliar position despite preference berth middle park. world cup, scored crucial second goal mexico group stage international goal, assisted julian alvarez 2-0 win poland. played big role lionel messi's second goal final extra time, setting lautaro martinez well-timed pass messi scored rebound. here's goal el tri: argentina 🇦🇷 enzo fernández beauty pic.twitter.com/xmacd77tnv obvious drawback overnight rise fernandez star club country 21-year-old world champion. schmidt admitted recently portuguese giants prepared lose talent, risk fernandez appreciate club standing way deal reached coming weeks. however, nearly $130 million, expectation player enormous joins graham potter's squad given challenges englishman faces rejuvenating free-spending blues. chelsea push hours days sign enzo fernandez. plan immediately, june. deal depends benfica decision now. 🔵 #cfc enzo accepted chelsea's contract bid, played he'd disrespect benfica. rui costa. pic.twitter.com/erhrjnlqzt aside chelsea, real madrid, manchester united, liverpool touted potential destinations fernandez. however, futile delve deeply fit sides deal edging closer chelsea. terms trio's interest, real probably sense given florentino perez like spend big world cup star performers. breathed new life midfield aurelien tchouameni eduardo camavinga england's jude bellingham radar. liverpool rival los blancos borussia dortmund star fernandez bellingham sense given jurgen klopp's men need midfield overhaul own. however, reds look likely miss quickly win ground. © 2004-2023 cbs interactive. rights reserved. cbs sports registered trademark cbs broadcasting inc. commissioner.com registered trademark cbs interactive inc. images getty images presswire"
argentina’s president seeks impeach supreme court chief - yahoo news,"(bloomberg) -- president alberto fernandez seeking impeach leader argentina’s supreme court, maneuver escalates recent feud court that’s unlikely succeed congress. read bloomberg elon musk person lose $200 billion china’s foreign minister says ‘deeply impressed’ americans stocks drop apple, tesla weigh indexes: markets wrap fernandez wrote new year’s day letter obtained support governors forward impeachment proceedings supreme court chief horacio rosatti, month ordered federal government repay funds owed city buenos aires, controlled opposition. “in recent months we’ve seen inadmissible advance national judicial power powers argentina,” fernandez wrote. “it’s responsibility promote actions federal system crisis.” rosatti unlikely impeached argentine law requires two-thirds lower house agree bring forward accusations him, majority senate support case. fernandez’s coalition, struggling hold presidential elections later year, lacks presence legislature. read more: argentina’s fernandez bows court funds buenos aires fernandez initially refused obey court order transfer money, said pay city bonds maturing 2031, city leaders rejected. case stems conflict 2020 fernandez took federal funds away city gave province buenos aires, controlled coalition. money meant pay police salary increases. president justified grounds city far wealthier capita province. read bloomberg businessweek family trips jamaica early economics lessons new boston fed president no-honking days noise barriers aim quell mumbai’s cacophony futuristic vertical farming startups struggling tech downturn china’s $1.3 trillion housing crackdown leaves winners ©2023 bloomberg l.p."
