title,body
australia helicopter collision: need know happened cockpits - officials - bbc,"video played watch: debris covers australia's gold coast mid-air helicopter collision investigators trying work caused deadly mid-air collision helicopters australia's gold coast, officials say. british couple australians died crash monday near sea world resort queensland. - including children - seriously injured crash. officials happened 20 seconds helicopter took sandbar collided aircraft landing. ""what need know occurring inside cockpits time,"" air safety commissioner angus mitchell said. killed critically injured ascending helicopter, crashed seconds main rotor blade struck cockpit aircraft. second helicopter landed upright sandbank. people board suffered minor injuries. landing ""remarkable achievement"" given helicopter damaged ""where pilot sitting"", mr mitchell said. ""we fortunate we're standing far deaths,"" told reporters tuesday. uk victims diane ron hughes merseyside - aged 57 65 - married kin australia. australian media reported 36-year-old vanessa tadros died crash, 10-year-old son survivors taken hospital critical condition. fourth fatality 40-year-old ashley jenkinson, experienced sea world helicopters pilot lived area. brisbane times reported originally england. close friend mr jenkinson's, ritchie gregg, told bbc ""gentle giant"" ""silent hero"". ""he helping community - bushfires years ago flood waters year,"" said. ""what floods nsw year definitely highlight life. wasn't him, lot people wouldn't got help got."" new south wales devastated floods year, particularly near lismore. police said woman aged 33 seriously injured stable hospital, nine-year-old son remained critical condition. boy 10 survivors crashed helicopter. helicopters operating tourist flights sea world - popular theme parks gold coast. owner, village roadshow theme parks, offered condolences said sea world helicopters independent operator. shaimaa khalil, bbc news it's difficult square beautiful serene spot broadwater gold coast fact major crash scene. water clear, boats jet skis around. opposite sandbank helicopter crash happened. wreckage choppers removed earlier; authorities finding challenging tide. couple police boats remain investigators scouring area evidence. i've seen divers going underwater scan sea bed. stone's throw away sea world theme park people heard rides. eyewitness said helicopters trying land hovered park concern crash crowds. peak holiday season thousands children. ""if know gold coast you'd know sea world helicopters,"" local told me. common attraction tourists fly quick tours area. questions investigators trying answer - crucially chopper took close proximity trying land. atsb says conduct interviews meticulously scour helicopters, scene, footage, evidence speculating caused crash. called eyewitnesses come forward. police said boat operators rushed help crash 14:00 local time (04:00 gmt), including giving cpr. authorities faced challenges accessing sandbank later securing evidence amid tidal changes, officials said. atsb's preliminary report weeks. prime minister anthony albanese said country left shocked ""terrible tragic incident"". uk foreign office said supporting victims' families remain contact local authorities. palestinians rage israel minister holy site visit snow shortage threatens alps wet winter season republicans revolt house speaker vote cuba boxing rule change lets women ring uncertain fate awaits thailand's elephant tourism russia's war drains ukraine's rich list power young athletes suffer cardiac arrest? brazil revives fraud charges george santos expect kim jong-un 2023 protest, love, art: unusual uses blood india nun monk fell love married moon hoax fooled world. videothe moon hoax fooled world unlikely tv hit ever? protein climate-friendly? railway forever changed © 2023 bbc. bbc responsible content external sites. read approach external linking."
australia's health adviser urged government restrictions travelers china - cnn,"australia’s medical officer advised government imposing restrictions travelers coming china, day health minister announced new testing requirements, internal documents show. china’s covid cases surging beijing abandoned costly zero-covid strategy, prompting number countries impose restrictions travelers coming china territories. australia them, letter published government website tuesday, written country’s chief medical officer paul kelly, reveals decision despite advice wasn’t necessary. “based available information, absence specific threat variant increased pathogenicity immune escape, believe sufficient public health rationale impose restriction additional requirements travelers china,” kelly wrote letter dated december 31. letter, kelly acknowledged widespread concern limited information released china outbreak, “which highlighted gaps global surveillance.” however, added consulted health officers parts country new zealand, found “strong consensus” targeted travel restrictions “inconsistent current national approach management covid-19 disproportionate risk.” chinese tourists ready travel abroad again. here's countries hesitant regardless, following day australian health minister mark butler announced thursday, travelers coming mainland china, hong kong macao proof negative covid test taken 48 hours departure. time, said new measures “lack comprehensive information” china’s covid situation genomic sequencing data. criticism government ignoring medical advice, butler told local radio tuesday acting “out abundance caution,” measures limited arrivals china because, recently, “significant country” world hadn’t opened up. australia dozen countries imposed restrictions travelers china territories past week. most, including us, uk, parts europe asia, requiring pre-departure test testing arrival, arrivals found positive needing quarantine. morocco took extra step outright banning travelers china, regardless nationality. ban goes effect tuesday, information lifted applies people traveling hong kong macao, china’s special administrative regions. measures controversial, health experts scientists world warning targeted restrictions largely ineffective preventing spread covid new variants – instead stoke racism xenophobia. tuesday, chinese ministry foreign affairs spokesperson mao ning warned china countermeasures travel restrictions. “some countries adopted entry restrictions targeting china, lack scientific basis, excessive practices unacceptable,” said, adding: “we firmly opposed attempts manipulate epidemic prevention control measures political purposes, corresponding countermeasures different situations accordance principle reciprocity.” experts told cnn currently evidence new variant emerging china, arise, likely spread world anyway. testing requirements don’t catch cases, especially variants shorter incubation period. country’s best defense sure population protected domestic policy, widespread vaccinations basic public health measures, said karen grepin, associate professor school public health university hong kong. “in lot parts world, pandemic feels like it’s … end day, (these measures) ultimately prevents transmission virus,” said, adding there’s “no point worrying imported cases, you’re going domestic cases.” “if countries point think things longer important, example they’ve developed population immunity, care couple new cases coming china?” letter, kelly argued australia’s domestic situation strong avoid imposing restrictions, pointing country’s “strong surveillance mechanisms” high immunity levels – vaccination previous infection. instead travel restrictions, proposed alternative measures including aircraft wastewater testing program voluntary sampling incoming travelers arrival. cnn’s beijing bureau contributed report. © 2022 cable news network. warner bros. discovery company. rights reserved. cnn sans ™ & © 2016 cable news network."
australia’s covid tests china went health advice - al jazeera english,"australia’s chief medical officer advised ‘sufficient public health rationale’ new travel rules. australia introduced covid-19 testing travellers china despite country’s medical official advising move, newly released letter shows. letter sent health minister mark butler saturday, australia’s chief medical officer paul kelly said believe public health justification introducing new travel requirements arrivals china. kelly said australia’s high level vaccination prior infection, fact bf.7 omicron subvariant appeared driving cases china circulating country, reasons, meant “sufficient public health rationale” new travel rules. “strong consensus” health officials australian states new zealand restrictions travel china “inconsistent current national approach management covid-19 disproportionate risk,” said. kelly recommended that, instead travel restrictions, government consider expanding wastewater testing, introducing volunteer sampling international arrivals, improving follow-up people test positive covid-19 recent history overseas travel. despite advice, butler announced following day travellers china, including hong kong macau, required produce negative covid result 48 hours travel. butler said decision “out abundance caution, taking account dynamic evolving situation china potential new variants emerge environment high transmission”. butler said time “briefed extensively” kelly details nature advice received. butler defended measures “very modest” “balanced decision”. kelly’s letter butler released website australia’s department health aged care late monday night. australia’s followed introduction similar measures united states, united kingdom, south korea, india, japan, taiwan, italy, france spain. canada saturday announced begin testing arrivals china january 5. authorities pointed concerns surging cases china following beijing’s dismantling tough “zero-covid” policy lead emergence new dangerous variants. health experts criticised testing requirements, arguing little stop spread new variants risk stoking xenophobia. china criticised testing rules “unnecessary”, chinese state-run media blasted measures “unfounded” “discriminatory”. china set lift mandatory quarantine arrivals january 8 years strict border controls, continue subject arrivals covid testing. follow al jazeera english:"
"australia’s covid test mainland china, hong kong, macau visitors ‘racist’ - south china morning post","published: 5:00pm, 3 jan, 2023 updated: 5:13pm, 3 jan, 2023"
